title,author,poembr
入若耶溪,王籍〔南北朝〕,艅艎何泛泛，空水共悠悠.<br>阴霞生远岫，阳景逐回流.<br>蝉噪林逾静，鸟鸣山更幽.<br>此地动归念，长年悲倦游。
蜀道难·其一,萧纲〔南北朝〕,建平督邮道，鱼复永安宫.<br>若奏巴渝曲，时当君思中。
蜀道难·其二,萧纲〔南北朝〕,巫山七百里，巴水三回曲.<br>笛声下复高，猿啼断还续。
晚出新亭,阴铿〔南北朝〕,大江一浩荡，离悲足几重.<br>潮落犹如盖，云昏不作峰.<br>远戍唯闻鼓，寒山但见松.<br>九十方称半，归途讵有踪。
关山月,徐陵〔南北朝〕,关山三五月，客子忆秦川.<br>思妇高楼上，当窗应未眠.<br>星旗映疏勒，云阵上祁连.<br>战气今如此，从军复几年。
断句,刘昶〔南北朝〕,白云满鄣来，黄尘暗天起.<br>关山四面绝，故乡几千里。
寄王琳,庾信〔南北朝〕,玉关道路远，金陵信使疏.<br>独下千行泪，开君万里书。
作蚕丝,佚名〔南北朝〕,春蚕不应老，昼夜常怀丝.<br>何惜微躯尽，缠绵自有时。
陇头歌辞三首,佚名〔南北朝〕,陇头流水，流离山下.<br>念吾一身，飘然旷野.<br>朝发欣城，暮宿陇头.<br>寒不能语，舌卷入喉.<br>陇头流水，鸣声呜咽.<br>遥望秦川，心肝断绝。
折杨柳歌辞五首,佚名〔南北朝〕,上马不捉鞭，反折杨柳枝.<br>蹀座吹长笛，愁杀行客儿.<br>腹中愁不乐，愿作郎马鞭.<br>出入擐郎臂，蹀座郎膝边.<br>放马两泉泽，忘不著连羁.<br>担鞍逐马走，何见得马骑.<br>遥看孟津河，杨柳郁婆娑.<br>我是虏家儿，不解汉儿歌.<br>健儿须快马，快马须健儿.<br>跸跋黄尘下，然后别雄雌。
敕勒歌,乐府诗集〔南北朝〕,敕勒川，阴山下.<br>天似穹庐，笼盖四野，天苍苍，野茫茫，风吹草低见牛羊。
于长安归还扬州九月九日行薇山亭赋韵,江总〔南北朝〕,心逐南云逝，形随北雁来.<br>故乡篱下菊，今日几花开。
人日思归,薛道衡〔隋代〕,入春才七日，离家已二年.<br>人归落雁后，思发在花前。
侍宴咏石榴,孔绍安〔唐代〕,可惜庭中树，移根逐汉臣.<br>只为来时晚，花开不及春。
塞上,柳开〔宋代〕,鸣骹直上一千尺，天静无风声更干.<br>碧眼胡儿三百骑，尽提金勒向云看。
柳枝词,郑文宝〔宋代〕,亭亭画舸系春潭，直到行人酒半酣.<br>不管烟波与风雨，载将离恨过江南。
村行,王禹偁〔宋代〕,马穿山径菊初黄，信马悠悠野兴长.<br>万壑有声含晚籁，数峰无语立斜阳.<br>棠梨叶落胭脂色，荞麦花开白雪香.<br>何事吟馀忽惆怅，村桥原树似吾乡。
春居杂兴·两株桃杏映篱斜,王禹偁〔宋代〕,两株桃杏映篱斜，妆点商州副使家.<br>何事春风容不得？和莺吹折数枝花。
柳,寇准〔宋代〕,晓带轻烟间杏花，晚凝深翠拂平沙.<br>长条别有风流处，密映钱塘苏小家。
书河上亭壁,寇准〔宋代〕,岸阔樯稀波渺茫，独凭危槛思何长.<br>萧萧远树疏林外，一半秋山带夕阳。
咏傀儡,杨亿〔宋代〕,鲍老当筵笑郭郎，笑他舞袖太郎当.<br>若教鲍老当筵舞，转更郎当舞袖长。
山园小梅二首,林逋〔宋代〕,众芳摇落独暄妍，占尽风情向小园.<br>疏影横斜水清浅，暗香浮动月黄昏.<br>霜禽欲下先偷眼，粉蝶如知合断魂.<br>幸有微吟可相狎，不须檀板共金樽.<br>剪绡零碎点酥乾，向背稀稠画亦难.<br>日薄从甘春至晚，霜深应怯夜来寒.<br>澄鲜只共邻僧惜，冷落犹嫌俗客看.<br>忆着江南旧行路，酒旗斜拂堕吟鞍。
落花,宋祁〔宋代〕,坠素翻红各自伤，青楼烟雨忍相忘.<br>将飞更作回风舞，已落犹成半面妆.<br>沧海客归珠有泪，章台人去骨遗香.<br>可能无意传双蝶，尽付芳心与蜜房。
宿甘露寺僧舍,曾公亮〔宋代〕,枕中云气千峰近，床底松声万壑哀.<br>要看银山拍天浪，开窗放入大江来。
